2022-11-26 02:05:47 TAI ####______|__#############|###############|##########
2022-11-26 02:05:48 TAI ###_______|___############|###############|##########
2022-11-26 02:05:49 TAI ###_______|_##############|###############|##########
2022-11-26 02:05:50 TAI ##________|__#############|###############|##########
2022-11-26 02:05:51 TAI ##________|__#############|###############|##########
2022-11-26 02:05:52 TAI ###_______|__#############|###############|##########
2022-11-26 02:05:53 TAI ##________|__#############|###############|##########
2022-11-26 02:05:54 TAI ##________|_______________|__#############|##########
2022-11-26 02:05:55 TAI ##________|__#############|###############|##########
2022-11-26 02:05:56 TAI ###_______|_______________|_______________|__########
2022-11-26 02:05:57 TAI ####______|___############|###############|##########
2022-11-26 02:05:58 TAI ####______|___############|###############|##########
2022-11-26 02:05:59 TAI ####______|_______________|__#############|##########
2022-11-26 02:06:00 TAI ######____|_______________|___############|##########
2022-11-26 02:06:01 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:02 TAI ##________|__#############|###############|##########
2022-11-26 02:06:03 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:04 TAI ##________|_______________|__#############|#_______##
2022-11-26 02:06:05 TAI ##______##|########__#____|_##############|##########
2022-11-26 02:06:06 TAI ##________|##_______#_____|_______________|__########
2022-11-26 02:06:07 TAI ####______|__#############|###############|##########
2022-11-26 02:06:08 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:09 TAI ###_______|__#############|#######____####|##########
2022-11-26 02:06:10 TAI #####_____|###############|###############|##########
2022-11-26 02:06:11 TAI #_________|__########_####|###############|##########
2022-11-26 02:06:12 TAI ##________|__#############|###############|##########
2022-11-26 02:06:13 TAI ###_______|_______________|__#############|##########
2022-11-26 02:06:14 TAI ####______|___############|###############|##########
2022-11-26 02:06:15 TAI #_________|__###__________|###############|##########
2022-11-26 02:06:16 TAI ###___##__|_________#_____|__#_######_##__|_#########
2022-11-26 02:06:17 TAI ####____#_|__#############|###############|##########
2022-11-26 02:06:18 TAI ###_______|___############|###############|##########
2022-11-26 02:06:19 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:20 TAI ##________|___############|###############|##########
2022-11-26 02:06:21 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:22 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:23 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:24 TAI ##________|_______________|__#############|##########
