2023-01-04 11:03:47 TAI ######___#|###############|###############|##########
2023-01-04 11:03:48 TAI ####____#_|##__########___|######_########|##########
2023-01-04 11:03:49 TAI ###_______|___############|#############_#|##########
2023-01-04 11:03:50 TAI ######____|_______________|__#############|##########
2023-01-04 11:03:51 TAI ##________|__#############|###############|_#########
2023-01-04 11:03:52 TAI #####_###_|###########__##|######_########|##########
2023-01-04 11:03:53 TAI ##_______#|___##########__|_############_#|##########
2023-01-04 11:03:54 TAI ##________|___############|###############|##########
2023-01-04 11:03:55 TAI ###_______|_______________|__########_####|##########
2023-01-04 11:03:56 TAI ####______|_______________|__________#_###|__########
2023-01-04 11:03:57 TAI #####__##_|__#############|###############|##########
2023-01-04 11:03:58 TAI ####______|___############|####___########|##########
2023-01-04 11:03:59 TAI ###_______|__#############|###############|##########
2023-01-04 11:04:00 TAI ###_______|__###_#########|###############|##########
2023-01-04 11:04:01 TAI __#_______|__#############|###############|##########
2023-01-04 11:04:02 TAI ##________|__#############|###############|##########
2023-01-04 11:04:03 TAI ####______|___############|###############|##########
2023-01-04 11:04:04 TAI ##________|___############|###############|##########
2023-01-04 11:04:05 TAI ###_______|__#############|###############|##########
2023-01-04 11:04:06 TAI _#________|___#_________#_|_______________|__########
2023-01-04 11:04:07 TAI ####______|__#############|###############|##########
2023-01-04 11:04:08 TAI ######____|_#_____________|__#############|##########
2023-01-04 11:04:09 TAI ####______|__#############|###############|##########
2023-01-04 11:04:10 TAI ###_______|___############|###############|##########
2023-01-04 11:04:11 TAI ##________|_##############|###############|######_###
2023-01-04 11:04:12 TAI ###_______|___############|###############|##########
2023-01-04 11:04:13 TAI ###_______|_______________|_##############|##########
2023-01-04 11:04:14 TAI ###____#__|__#############|###############|##########
2023-01-04 11:04:15 TAI ####______|_______________|__#############|##########
2023-01-04 11:04:16 TAI #____##__#|######_#######_|##_##______##__|_#########
2023-01-04 11:04:17 TAI ###_###__#|#_#############|#####__########|##########
2023-01-04 11:04:18 TAI ##________|___############|###############|##########
2023-01-04 11:04:19 TAI #####_____|__#############|###############|##########
2023-01-04 11:04:20 TAI ##________|__#############|###############|#_##_#####
